"ID","Name","Department","Salary"
"55","Zaid","Development","780000"
"4","Yogesh","HR","778797"
"49","Rajat","Development","770000"
"37","Farhan","Development","760000"
"11","Ankit","Development","750000"
"24","Ujjwal","Development","740000"
"32","Anirudh","Development","730000"
"5","Shubham","Development","720000"
"19","Neeraj","Development","710000"
"43","Lakshay","Development","700000"
"16","Harsh","Development","690000"
"28","Tarun","Development","680000"
"1","Deepanshu","Development","650000"
"52","Umesh","Sales","650000"
"46","Omkar","Sales","640000"
"40","Ishaan","Sales","630000"
"14","Vikas","Sales","620000"
"34","Chetan","Sales","610000"
"8","Gagan","Development","600000"
"21","Rohit","Sales","600000"
"51","Tanmay","Marketing","600000"
"26","Naveen","Sales","590000"
"45","Naman","Marketing","590000"
"7","Survesh","Sales","580000"
"39","Himanshu","Marketing","580000"
"33","Bhavesh","Marketing","570000"
"27","Sandeep","Marketing","560000"
"50","Saksham","Operations","560000"
"20","Akash","Marketing","550000"
"44","Mayank","Operations","550000"
"6","Karan","Marketing","540000"
"38","Gaurav","Operations","540000"
"13","Mohit","Marketing","530000"
"31","Sushant","Operations","530000"
"25","Aditya","Operations","520000"
"53","Vaibhav","Finance","520000"
"18","Sumit","Operations","510000"
"47","Pranay","Finance","510000"
"10","Nikhil","Operations","500000"
"41","Jatin","Finance","500000"
"15","Prateek","Finance","490000"
"35","Deepak","Finance","480000"
"22","Abhishek","Finance","470000"
"29","Vivek","Finance","460000"
"9","Aman","Finance","450000"
"54","Yash","HR","91000"
"48","Qasim","HR","90000"
"36","Eshan","HR","89000"
"23","Shivam","HR","88000"
"3","Raj","HR","87868"
"2","Purvansh","HR","87659"
"12","Saurabh","HR","87000"
"30","Manish","HR","87000"
"42","Kunal","HR","85000"
"17","Ravi","HR","83000"
